,,,,
RCP85__EMISSIONS____________________________,,,,
COLUMN_DESCRIPTION________________________________________,,,,
"1. FossilCO2        - Fossil & Industrial CO2 (Fossil, Cement, Gas Flaring & Bunker Fuels)",,,,
COLUMN:,RCP85,RCP60,RCP45,RCP26
UNITS:,GtC/yr,GtC/yr,GtC/yr,GtC/yr
v YEARS/GAS >,FossilCO2,FossilCO2,FossilCO2,FossilCO2
1765,0.003,0.003,0.003,0.003
1766,0.003,0.003,0.003,0.003
1767,0.003,0.003,0.003,0.003
1768,0.003,0.003,0.003,0.003
1769,0.003,0.003,0.003,0.003
1770,0.003,0.003,0.003,0.003
1771,0.0039999999,0.0039999999,0.0039999999,0.0039999999
1772,0.0039999999,0.0039999999,0.0039999999,0.0039999999
1773,0.0039999999,0.0039999999,0.0039999999,0.0039999999
1774,0.0039999999,0.0039999999,0.0039999999,0.0039999999
1775,0.0039999999,0.0039999999,0.0039999999,0.0039999999
1776,0.0039999999,0.0039999999,0.0039999999,0.0039999999
1777,0.0039999999,0.0039999999,0.0039999999,0.0039999999
1778,0.0039999999,0.0039999999,0.0039999999,0.0039999999
1779,0.0039999999,0.0039999999,0.0039999999,0.0039999999
1780,0.0039999999,0.0039999999,0.0039999999,0.0039999999
1781,0.0049999999,0.0049999999,0.0049999999,0.0049999999
1782,0.0049999999,0.0049999999,0.0049999999,0.0049999999
1783,0.0049999999,0.0049999999,0.0049999999,0.0049999999
1784,0.0049999999,0.0049999999,0.0049999999,0.0049999999
1785,0.0049999999,0.0049999999,0.0049999999,0.0049999999
1786,0.0049999999,0.0049999999,0.0049999999,0.0049999999
1787,0.0049999999,0.0049999999,0.0049999999,0.0049999999
1788,0.0049999999,0.0049999999,0.0049999999,0.0049999999
1789,0.0049999999,0.0049999999,0.0049999999,0.0049999999
1790,0.0049999999,0.0049999999,0.0049999999,0.0049999999
1791,0.0059999999,0.0059999999,0.0059999999,0.0059999999
1792,0.0059999999,0.0059999999,0.0059999999,0.0059999999
1793,0.0059999999,0.0059999999,0.0059999999,0.0059999999
1794,0.0059999999,0.0059999999,0.0059999999,0.0059999999
1795,0.0059999999,0.0059999999,0.0059999999,0.0059999999
1796,0.0059999999,0.0059999999,0.0059999999,0.0059999999
1797,0.0069999999,0.0069999999,0.0069999999,0.0069999999
1798,0.0069999999,0.0069999999,0.0069999999,0.0069999999
1799,0.0069999999,0.0069999999,0.0069999999,0.0069999999
1800,0.0079999999,0.0079999999,0.0079999999,0.0079999999
1801,0.0079999999,0.0079999999,0.0079999999,0.0079999999
1802,0.0099999999,0.0099999999,0.0099999999,0.0099999999
1803,0.0089999999,0.0089999999,0.0089999999,0.0089999999
1804,0.0089999999,0.0089999999,0.0089999999,0.0089999999
1805,0.0089999999,0.0089999999,0.0089999999,0.0089999999
1806,0.0099999998,0.0099999998,0.0099999998,0.0099999998
1807,0.0099999999,0.0099999999,0.0099999999,0.0099999999
1808,0.0099999999,0.0099999999,0.0099999999,0.0099999999
1809,0.0099999999,0.0099999999,0.0099999999,0.0099999999
1810,0.0099999999,0.0099999999,0.0099999999,0.0099999999
1811,0.011,0.011,0.011,0.011
1812,0.011,0.011,0.011,0.011
1813,0.011,0.011,0.011,0.011
1814,0.011,0.011,0.011,0.011
1815,0.012,0.012,0.012,0.012
1816,0.013,0.013,0.013,0.013
1817,0.014,0.014,0.014,0.014
1818,0.014,0.014,0.014,0.014
1819,0.014,0.014,0.014,0.014
1820,0.014,0.014,0.014,0.014
1821,0.014,0.014,0.014,0.014
1822,0.015,0.015,0.015,0.015
1823,0.016,0.016,0.016,0.016
1824,0.016,0.016,0.016,0.016
1825,0.017,0.017,0.017,0.017
1826,0.017,0.017,0.017,0.017
1827,0.018,0.018,0.018,0.018
1828,0.018,0.018,0.018,0.018
1829,0.018,0.018,0.018,0.018
1830,0.024,0.024,0.024,0.024
1831,0.023,0.023,0.023,0.023
1832,0.023,0.023,0.023,0.023
1833,0.024,0.024,0.024,0.024
1834,0.024,0.024,0.024,0.024
1835,0.025,0.025,0.025,0.025
1836,0.029,0.029,0.029,0.029
1837,0.029,0.029,0.029,0.029
1838,0.03,0.03,0.03,0.03
1839,0.031,0.031,0.031,0.031
1840,0.032999999,0.032999999,0.032999999,0.032999999
1841,0.033999999,0.033999999,0.033999999,0.033999999
1842,0.035999999,0.035999999,0.035999999,0.035999999
1843,0.036999999,0.036999999,0.036999999,0.036999999
1844,0.038999999,0.038999999,0.038999999,0.038999999
1845,0.042999999,0.042999999,0.042999999,0.042999999
1846,0.042999999,0.042999999,0.042999999,0.042999999
1847,0.045999999,0.045999999,0.045999999,0.045999999
1848,0.046999999,0.046999999,0.046999999,0.046999999
1849,0.049999999,0.049999999,0.049999999,0.049999999
1850,0.053999999,0.053999999,0.053999999,0.053999999
1851,0.053999999,0.053999999,0.053999999,0.053999999
1852,0.056999999,0.056999999,0.056999999,0.056999999
1853,0.058999999,0.058999999,0.058999999,0.058999999
1854,0.068999999,0.068999999,0.068999999,0.068999999
1855,0.070999999,0.070999999,0.070999999,0.070999999
1856,0.075999999,0.075999999,0.075999999,0.075999999
1857,0.076999999,0.076999999,0.076999999,0.076999999
1858,0.077999999,0.077999999,0.077999999,0.077999999
1859,0.082999999,0.082999999,0.082999999,0.082999999
1860,0.090999999,0.090999999,0.090999999,0.090999999
1861,0.094999998,0.094999998,0.094999998,0.094999998
1862,0.096999998,0.096999998,0.096999998,0.096999998
1863,0.104,0.104,0.104,0.104
1864,0.112,0.112,0.112,0.112
1865,0.119,0.119,0.119,0.119
1866,0.122,0.122,0.122,0.122
1867,0.13022269,0.13022269,0.13022269,0.13022269
1868,0.13525196,0.13525196,0.13525196,0.13525196
1869,0.14228123,0.14228123,0.14228123,0.14228123
1870,0.14731051,0.14731051,0.14731051,0.14731051
1871,0.15633978,0.15633978,0.15633978,0.15633978
1872,0.17336905,0.17336905,0.17336905,0.17336905
1873,0.18439832,0.18439832,0.18439832,0.18439832
1874,0.1744276,0.1744276,0.1744276,0.1744276
1875,0.18845687,0.18845687,0.18845687,0.18845687
1876,0.19148614,0.19148614,0.19148614,0.19148614
1877,0.19451541,0.19451541,0.19451541,0.19451541
1878,0.196,0.196,0.196,0.196
1879,0.21,0.21,0.21,0.21
1880,0.236,0.236,0.236,0.236
1881,0.243,0.243,0.243,0.243
1882,0.256,0.256,0.256,0.256
1883,0.272,0.272,0.272,0.272
1884,0.275,0.275,0.275,0.275
1885,0.27699999,0.27699999,0.27699999,0.27699999
1886,0.28099999,0.28099999,0.28099999,0.28099999
1887,0.295,0.295,0.295,0.295
1888,0.32699999,0.32699999,0.32699999,0.32699999
1889,0.32699999,0.32699999,0.32699999,0.32699999
1890,0.35599999,0.35599999,0.35599999,0.35599999
1891,0.37199999,0.37199999,0.37199999,0.37199999
1892,0.37399999,0.37399999,0.37399999,0.37399999
1893,0.36999999,0.36999999,0.36999999,0.36999999
1894,0.38299999,0.38299999,0.38299999,0.38299999
1895,0.40599999,0.40599999,0.40599999,0.40599999
1896,0.41899999,0.41899999,0.41899999,0.41899999
1897,0.43999999,0.43999999,0.43999999,0.43999999
1898,0.46499999,0.46499999,0.46499999,0.46499999
1899,0.50699999,0.50699999,0.50699999,0.50699999
1900,0.53399999,0.53399999,0.53399999,0.53399999
1901,0.55199999,0.55199999,0.55199999,0.55199999
1902,0.56599999,0.56599999,0.56599999,0.56599999
1903,0.61699999,0.61699999,0.61699999,0.61699999
1904,0.62399999,0.62399999,0.62399999,0.62399999
1905,0.66299999,0.66299999,0.66299999,0.66299999
1906,0.70699999,0.70699999,0.70699999,0.70699999
1907,0.78399999,0.78399999,0.78399999,0.78399999
1908,0.74999999,0.74999999,0.74999999,0.74999999
1909,0.78499999,0.78499999,0.78499999,0.78499999
1910,0.81899999,0.81899999,0.81899999,0.81899999
1911,0.83599999,0.83599999,0.83599999,0.83599999
1912,0.87899999,0.87899999,0.87899999,0.87899999
1913,0.94299999,0.94299999,0.94299999,0.94299999
1914,0.84999999,0.84999999,0.84999999,0.84999999
1915,0.83799999,0.83799999,0.83799999,0.83799999
1916,0.90099999,0.90099999,0.90099999,0.90099999
1917,0.95499999,0.95499999,0.95499999,0.95499999
1918,0.93599999,0.93599999,0.93599999,0.93599999
1919,0.80599999,0.80599999,0.80599999,0.80599999
1920,0.93199999,0.93199999,0.93199999,0.93199999
1921,0.80299999,0.80299999,0.80299999,0.80299999
1922,0.84499999,0.84499999,0.84499999,0.84499999
1923,0.96999999,0.96999999,0.96999999,0.96999999
1924,0.96299999,0.96299999,0.96299999,0.96299999
1925,0.97499999,0.97499999,0.97499999,0.97499999
1926,0.98299999,0.98299999,0.98299999,0.98299999
1927,1.062,1.062,1.062,1.062
1928,1.065,1.065,1.065,1.065
1929,1.145,1.145,1.145,1.145
1930,1.053,1.053,1.053,1.053
1931,0.93999999,0.93999999,0.93999999,0.93999999
1932,0.84699999,0.84699999,0.84699999,0.84699999
1933,0.89299999,0.89299999,0.89299999,0.89299999
1934,0.97299999,0.97299999,0.97299999,0.97299999
1935,1.027,1.027,1.027,1.027
1936,1.13,1.13,1.13,1.13
1937,1.209,1.209,1.209,1.209
1938,1.142,1.142,1.142,1.142
1939,1.192,1.192,1.192,1.192
1940,1.299,1.299,1.299,1.299
1941,1.334,1.334,1.334,1.334
1942,1.342,1.342,1.342,1.342
1943,1.391,1.391,1.391,1.391
1944,1.383,1.383,1.383,1.383
1945,1.16,1.16,1.16,1.16
1946,1.238,1.238,1.238,1.238
1947,1.392,1.392,1.392,1.392
1948,1.469,1.469,1.469,1.469
1949,1.419,1.419,1.419,1.419
1950,1.63,1.63,1.63,1.63
1951,1.768,1.768,1.768,1.768
1952,1.796,1.796,1.796,1.796
1953,1.841,1.841,1.841,1.841
1954,1.865,1.865,1.865,1.865
1955,2.043,2.043,2.043,2.043
1956,2.178,2.178,2.178,2.178
1957,2.27,2.27,2.27,2.27
1958,2.33,2.33,2.33,2.33
1959,2.462,2.462,2.462,2.462
1960,2.577,2.577,2.577,2.577
1961,2.594,2.594,2.594,2.594
1962,2.7,2.7,2.7,2.7
1963,2.848,2.848,2.848,2.848
1964,3.008,3.008,3.008,3.008
1965,3.145,3.145,3.145,3.145
1966,3.305,3.305,3.305,3.305
1967,3.411,3.411,3.411,3.411
1968,3.588,3.588,3.588,3.588
1969,3.8,3.8,3.8,3.8
1970,4.076,4.076,4.076,4.076
1971,4.231,4.231,4.231,4.231
1972,4.399,4.399,4.399,4.399
1973,4.6349999,4.6349999,4.6349999,4.6349999
1974,4.644,4.644,4.644,4.644
1975,4.615,4.615,4.615,4.615
1976,4.883,4.883,4.883,4.883
1977,5.029,5.029,5.029,5.029
1978,5.105,5.105,5.105,5.105
1979,5.387,5.387,5.387,5.387
1980,5.332,5.332,5.332,5.332
1981,5.168,5.168,5.168,5.168
1982,5.127,5.127,5.127,5.127
1983,5.11,5.11,5.11,5.11
1984,5.29,5.29,5.29,5.29
1985,5.444,5.444,5.444,5.444
1986,5.61,5.61,5.61,5.61
1987,5.753,5.753,5.753,5.753
1988,5.964,5.964,5.964,5.964
1989,6.089,6.089,6.089,6.089
1990,6.144,6.144,6.144,6.144
1991,6.235,6.235,6.235,6.235
1992,6.118,6.118,6.118,6.118
1993,6.124,6.124,6.124,6.124
1994,6.242,6.242,6.242,6.242
1995,6.372,6.372,6.372,6.372
1996,6.51,6.51,6.51,6.51
1997,6.619,6.619,6.619,6.619
1998,6.588,6.588,6.588,6.588
1999,6.569,6.569,6.569,6.569
2000,6.735,6.735,6.735,6.735
2001,6.8959,6.8959,6.8959,6.8959
2002,6.949,6.949,6.949,6.949
2003,7.286,7.286,7.286,7.286
2004,7.6719,7.6719,7.6719,7.6719
2005,7.971,7.971,7.971,7.971
2006,8.1615,8.081,8.0985,8.1427
2007,8.3523,8.1899,8.226,8.3136
2008,8.5434,8.2971667,8.3531333,8.4828667
2009,8.7345,8.4044333,8.4802667,8.6521333
2010,8.9256,8.5117,8.6074,8.8214
2011,9.18679,8.55557,8.73381,8.86803
2012,9.44798,8.59944,8.86022,8.91466
2013,9.70917,8.64331,8.98663,8.96129
2014,9.97036,8.68718,9.11304,9.00792
